timestamp,tp9,af7,af8,tp10,hr
1729906381.550,299.316,385.254,-129.395,-1000.000,0.000
1729906381.554,-1000.000,-947.266,-424.316,-754.395,0.000
1729906381.558,-1000.000,-1000.000,-382.812,864.258,0.000
1729906381.562,-51.270,-324.707,-330.566,836.914,0.000
1729906381.566,283.691,519.531,-270.996,-694.824,0.000
1729906381.570,-1000.000,-696.777,-387.695,-1000.000,0.000
1729906381.574,-1000.000,-1000.000,-488.281,80.078,0.000
1729906381.578,-615.234,-911.621,-479.980,-812.988,0.000
1729906381.582,77.637,-98.145,-389.648,-60.547,0.000
1729906381.586,-865.234,-448.730,-407.715,-1000.000,0.000
1729906381.589,-1000.000,-1000.000,-312.500,-231.934,0.000
1729906381.593,-990.723,-1000.000,-210.449,-825.684,0.000
1729906381.597,-350.586,-550.781,-331.055,244.141,0.000
1729906381.601,-597.656,-501.465,-441.406,-1000.000,0.000
1729906381.605,-1000.000,-1000.000,-454.102,-513.184,0.000
1729906381.609,-1000.000,-1000.000,-279.297,-907.227,0.000
1729906381.613,-154.297,-567.383,-305.664,420.410,0.000
1729906381.617,-88.867,-363.770,-418.457,-1000.000,0.000
1729906381.621,-1000.000,-827.637,-345.703,-1000.000,0.000
1729906381.625,-1000.000,-840.332,-111.816,496.582,0.000
1729906381.629,-535.645,-520.020,-152.344,948.242,0.000
1729906381.632,-32.715,-406.250,-430.176,-582.520,0.000
1729906381.636,-961.914,-675.293,-475.098,-1000.000,0.000
1729906381.640,-1000.000,-696.777,-239.258,-102.539,0.000
1729906381.644,-894.531,-600.586,-215.820,-821.289,0.000
1729906381.648,-330.078,-229.004,-391.113,80.078,0.000
1729906381.652,-808.594,-265.625,-413.086,-1000.000,0.000
1729906381.656,-1000.000,-547.363,-219.727,-243.164,0.000
1729906381.660,-1000.000,-573.730,-130.371,-818.359,0.000
1729906381.664,-117.676,14.648,-346.191,243.164,0.000
1729906381.668,-100.586,178.223,-467.285,-1000.000,0.000
1729906381.671,-1000.000,-431.152,-352.051,-558.105,0.000
1729906381.675,-1000.000,-598.633,-186.523,-943.848,0.000
1729906381.679,-73.730,127.441,-231.445,605.957,0.000
1729906381.683,243.164,629.883,-311.035,-952.148,0.000
1729906381.687,-1000.000,-255.371,-289.062,-1000.000,0.000
1729906381.691,-1000.000,-703.125,-164.062,338.867,0.000
1729906381.695,-391.602,-458.008,-338.379,-865.234,0.000
1729906381.699,192.383,283.691,-441.406,-259.766,0.000
1729906381.703,-973.633,-158.691,-402.832,-1000.000,0.000
1729906381.707,-1000.000,-573.242,-213.867,-213.867,0.000
1729906381.711,-938.477,-376.953,-83.984,-837.891,0.000
1729906381.714,-750.977,-234.375,-303.711,178.711,0.000
1729906381.718,-918.945,-317.383,-404.785,-1000.000,0.000
1729906381.722,-1000.000,-542.969,-260.742,-420.898,0.000
1729906381.726,-980.469,-458.496,-137.695,-876.953,0.000
1729906381.730,-1000.000,-270.996,-277.832,247.070,0.000
1729906381.734,-1000.000,-295.898,-391.113,-1000.000,0.000
1729906381.738,-1000.000,-411.621,-306.641,-928.223,0.000
1729906381.742,-1000.000,-416.016,-146.484,661.133,0.000
1729906381.746,-1000.000,-277.832,-242.676,646.973,0.000
1729906381.750,-1000.000,-207.520,-407.715,-928.711,0.000
1729906381.753,-950.684,-460.449,-441.895,-1000.000,0.000
1729906381.757,-1000.000,-490.234,-257.324,-0.977,0.000
1729906381.761,-876.465,-187.988,-162.109,-847.656,0.000
1729906381.765,-31.738,20.996,-366.211,-142.578,0.000
1729906381.769,-608.887,-101.074,-379.395,-1000.000,0.000
1729906381.773,-1000.000,-250.488,-160.156,-222.656,0.000
1729906381.777,-1000.000,-242.676,-91.309,-825.195,0.000
1729906381.781,62.988,406.250,-215.332,239.746,0.000
1729906381.785,-145.508,362.793,-344.727,-1000.000,0.000
1729906381.789,-1000.000,-348.145,-286.621,-365.723,0.000
1729906381.793,-1000.000,-467.285,-235.352,-850.586,0.000
1729906381.796,-60.059,279.297,-260.742,525.391,0.000
1729906381.800,263.184,712.402,-205.566,-1000.000,0.000
1729906381.804,-1000.000,-234.863,-333.496,-701.660,0.000
1729906381.808,-1000.000,-641.113,-270.996,823.242,0.000
1729906381.812,-114.746,95.703,-210.938,-878.906,0.000
1729906381.816,811.523,-991.211,-3.906,-250.000,0.000
1729906381.820,-608.398,72.754,-132.812,-1000.000,0.000
1729906381.824,-1000.000,-973.145,-284.668,204.102,0.000
1729906381.828,-428.711,-514.160,-273.438,-758.301,0.000
1729906381.832,-968.262,916.016,31.250,166.504,0.000
1729906381.836,40.039,332.031,23.438,-1000.000,0.000
1729906381.839,-1000.000,-1000.000,-268.066,-263.184,0.000
1729906381.843,-971.680,-1000.000,-322.754,-804.199,0.000
1729906381.847,530.762,233.398,-115.723,236.328,0.000
1729906381.851,313.965,526.367,61.035,-1000.000,0.000
1729906381.855,-1000.000,-891.113,-294.434,-416.016,0.000
1729906381.859,-1000.000,-1000.000,-392.578,-890.625,0.000
1729906381.863,5.371,-95.215,-214.844,659.180,0.000
1729906381.867,379.395,730.469,34.668,-947.266,0.000
1729906381.871,-980.957,-605.469,-296.875,-905.273,0.000
1729906381.875,-1000.000,-1000.000,-471.191,611.816,0.000
1729906381.879,-138.672,-351.562,-375.488,-841.797,0.000
1729906381.882,918.945,-991.211,0.000,-175.293,0.000
1729906381.886,-453.613,-44.434,-170.410,-1000.000,0.000
1729906381.890,-1000.000,-1000.000,-410.156,4.395,0.000
1729906381.894,-487.793,-780.762,-406.738,-769.043,0.000
1729906381.898,-965.820,775.391,10.254,203.613,0.000
1729906381.902,280.762,358.887,73.730,-1000.000,0.000
1729906381.906,-1000.000,-1000.000,-481.445,-274.414,0.000
1729906381.910,-848.145,-1000.000,-526.855,-800.781,0.000
1729906381.914,775.391,341.797,-60.547,416.504,0.000
1729906381.918,485.352,830.078,278.809,-1000.000,0.000
1729906381.921,-1000.000,-686.035,-232.422,-356.934,0.000
1729906381.925,-1000.000,-1000.000,-579.590,-931.641,0.000
1729906381.929,211.914,-63.965,-244.629,952.148,0.000
1729906381.933,-914.062,-845.703,288.574,-582.031,0.000
1729906381.937,-366.699,-7.324,-183.105,-859.863,0.000
1729906381.941,-1000.000,-1000.000,-623.047,708.008,0.000
1729906381.945,-188.965,-237.305,-334.961,-812.012,0.000
1729906381.949,-824.219,-820.801,368.652,44.922,0.000
1729906381.953,204.590,258.789,146.973,-1000.000,0.000
1729906381.957,-1000.000,-1000.000,-489.746,1.953,0.000
1729906381.961,-259.277,-525.391,-490.723,-751.465,0.000
1729906381.964,-813.477,-936.523,181.641,197.754,0.000
1729906381.968,230.957,476.074,311.523,-1000.000,0.000
1729906381.972,-1000.000,-999.023,-381.836,-275.879,0.000
1729906381.976,-787.598,-1000.000,-625.000,-813.477,0.000
1729906381.980,861.328,379.395,-39.551,468.262,0.000
1729906381.984,554.688,902.832,365.234,-1000.000,0.000
1729906381.988,-952.148,-584.473,-240.234,-638.672,0.000
1729906381.992,-1000.000,-1000.000,-658.203,981.934,0.000
1729906381.996,-9.766,-166.992,-343.262,854.980,0.000
1729906382.000,-987.305,-890.137,320.801,-645.996,0.000
1729906382.003,-402.832,-48.340,-102.539,-1000.000,0.000
1729906382.007,-1000.000,-1000.000,-640.137,162.109,0.000
1729906382.011,-202.148,-423.340,-486.816,-800.781,0.000
1729906382.015,-855.957,-913.086,158.203,-51.270,0.000
